"","long","lat","group","order","region","subregion"
"43",-122.928092956543,48.6670341491699,58,14263,"washington","orcas island"
"44",-122.951011657715,48.644115447998,58,14264,"washington","orcas island"
"45",-122.945289611816,48.5982818603516,58,14265,"washington","orcas island"
"46",-122.899444580078,48.6211967468262,58,14266,"washington","orcas island"
"47",-122.86506652832,48.5925521850586,58,14267,"washington","orcas island"
"48",-122.82495880127,48.5925521850586,58,14268,"washington","orcas island"
"49",-122.853614807129,48.6383895874023,58,14269,"washington","orcas island"
"50",-122.86506652832,48.6727638244629,58,14270,"washington","orcas island"
"51",-122.82495880127,48.6670341491699,58,14271,"washington","orcas island"
"52",-122.802047729492,48.6154708862305,58,14272,"washington","orcas island"
"53",-122.76766204834,48.6097373962402,58,14273,"washington","orcas island"
"54",-122.670265197754,48.1742897033691,59,14275,"washington","whidbey island"
"55",-122.710372924805,48.2143974304199,59,14276,"washington","whidbey island"
"56",-122.721832275391,48.2373161315918,59,14277,"washington","whidbey island"
"57",-122.670265197754,48.3118019104004,59,14278,"washington","whidbey island"
"58",-122.635879516602,48.3576354980469,59,14279,"washington","whidbey island"
"59",-122.618698120117,48.3748245239258,59,14280,"washington","whidbey island"
"60",-122.549942016602,48.3748245239258,59,14281,"washington","whidbey island"
"61",-122.549942016602,48.3461799621582,59,14282,"washington","whidbey island"
"62",-122.521301269531,48.3404502868652,59,14283,"washington","whidbey island"
"63",-122.492652893066,48.3289909362793,59,14284,"washington","whidbey island"
"64",-122.463996887207,48.2888832092285,59,14285,"washington","whidbey island"
"65",-122.509841918945,48.2774238586426,59,14286,"washington","whidbey island"
"66",-122.549942016602,48.2831535339355,59,14287,"washington","whidbey island"
"67",-122.572868347168,48.2659645080566,59,14288,"washington","whidbey island"
"68",-122.607238769531,48.2716941833496,59,14289,"washington","whidbey island"
"69",-122.607238769531,48.2430458068848,59,14290,"washington","whidbey island"
"70",-122.658805847168,48.2315864562988,59,14291,"washington","whidbey island"
"71",-122.670265197754,48.2143974304199,59,14292,"washington","whidbey island"
"72",-122.607238769531,48.2143974304199,59,14293,"washington","whidbey island"
"73",-122.538482666016,48.1800193786621,59,14294,"washington","whidbey island"
"74",-122.515563964844,48.0940780639648,59,14295,"washington","whidbey island"
